Run Number,Max Waiting List,Mean Q Time Enter Pathway,Mean Wait Time Asst,Mean Wait Time School,Mean Wait Time Diag,Mean Wait Time Titr
0,298.0,6.606899161329278,14.161300259876217,11.84575092208918,13.313418231486759,14.813001605201054
1,321.0,5.9688893982227675,14.732573983434095,12.658275180426326,13.120907980731571,15.8698069967213
2,267.0,5.842938635921958,13.550976933998022,12.021045022684225,14.689091315457988,14.536105421294593
3,306.0,6.881049907415352,12.734164452193356,12.38761608998446,13.951301823474818,15.931845171475896
4,323.0,5.113225221933045,12.869725648164245,11.896814977643505,14.023062067728535,14.763327723899216
5,285.0,5.624093710973921,12.74344531940248,12.058167639850613,14.736617941674176,16.564049447344903
6,327.0,5.917888787363958,11.864508442461641,12.459919125185674,13.730993742721578,16.352663101806034
7,297.0,6.570186883313473,12.394651513196614,12.672150168296442,14.17467169884557,15.203218928678192
8,314.0,4.813137201939181,12.83609339752706,11.17969087604008,15.178961269430289,14.510011809493118
9,315.0,6.297662222204596,12.841426794796181,11.490854583015851,14.510820724344939,15.793532769226502
